"STATION","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01"
"USW00094789","1970-02-15","  100","  100",,,,"   86","   69","   76",,"   17","  -44",,"  270",,,,,,"   80",,,,,"    1",,,"    1",,"    1",,"    1",,,,,,"    1",,"    1",,,,
"USW00094789","1970-02-16","   90","   80",,,,"    0","    0","   51",,"   17","  -17",,"  330",,,,,,"   94",,,,,,,,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-02-17","   80","   80",,,,"    0","    0","    0",,"   39","  -28",,"   30",,,,,,"   67",,,,,,,,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-02-18","   60","   50",,,,"    0","    0","    0",,"   50","  -17",,"  200",,,,,,"   98",,,,,"    1","    1",,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-02-19","   50","   60",,,,"    0","    0","    0",,"   89","  -28",,"  320",,,,,,"  107",,,,,"    1","    1",,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-02-20","   10","   30",,,,"    0","    0","    0",,"   11","  -61",,"  300",,,,,,"  103",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-02-21","   30","   40",,,,"    0","    0","    0",,"   11","  -56",,"  270",,,,,,"  112",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-02-22","   40","   10",,,,"    0","    0","    0",,"  122","   -6",,"  310",,,,,,"  139",,,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00094789","1970-02-23","   10","   10",,,,"    0","    0","    0",,"   67","  -17",,"  310",,,,,,"  134",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-02-24","   20","   40",,,,"    0","    0","    0",,"  111","  -28",,"  240",,,,,,"   98",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-02-25","   70","   60",,,,"    0","    0","    0",,"  122","  -67",,"  330",,,,,,"  134",,,,,,,,,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-02-26","    0","    0",,,,"    0","    0","    0",,"  -39"," -106",,"  340",,,,,,"  107",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-02-27","   70","   80",,,,"    0","    0","    0",,"   39","  -44",,"  170",,,,,,"   98",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-02-28","   20","   20",,,,"    0","    0","    0",,"   44","  -11",,"  330",,,,,,"  107",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-03-01","   40","   20",,,,"    0","    0","    0",,"   22","  -39",,"  180",,,,,,"   72",,,,,,,,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-03-02","  100","  100",,,,"    0","    0","    0",,"   72","    6",,"   50",,,,,,"   76",,,,,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00094789","1970-03-03","   90","   70",,,,"    0","    0","    0",,"   56","    0",,"   50",,,,,,"   63",,,,,,,,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-03-04","  100","  100",,,,"  112","    0","    0",,"   28","   17",,"  120",,,,,,"   76",,,,,"    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-03-05","   90","   90",,,,"    3","    0","    0",,"  100","   17",,"  360",,,,,,"   80",,,,,"    1","    1",,,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-03-06","   90","  100",,,,"    0","    0","    0",,"   50","   11",,"  360",,,,,,"   94",,,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00094789","1970-03-07","   60","   60",,,,"    0","    0","    0",,"   72","  -11",,"  280",,,,,,"   89",,,,,,,,,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-03-08","   20","   10",,,,"    0","    0","    0",,"   44","  -39",,"  300",,,,,,"  107",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-03-09","    0","    0",,,,"    0","    0","    0",,"   33","  -56",,"  340",,,,,,"   98",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-03-10","   10","   30",,,,"    0","    0","    0",,"   39","  -56",,"  290",,,,,,"  125",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-03-11","   10","    0",,,,"    0","    0","    0",,"   67","  -28",,"  290",,,,,,"  107",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-03-12","   80","  100",,,,"   97","    0","    0",,"   33","    6",,"  280",,,,,,"   72",,,,,"    1",,,"    1",,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-03-13","  100","  100",,,,"   15","    0","    0",,"   39","   11",,"  320",,,,,,"   72",,,,,"    1",,,,,,,"    1",,,,,,"    1",,,,,,
